Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Years,Item_Visibility_MeanRatio,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Combine_Drinks,Item_Combine_Food,Item_Combine_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDL21,41.148,2181.2889135750365,13,0.007186838,15.85,2007,OUT017,15,0.10896944741278494,592,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ01,104.099,2476.776,3,0.009057132,8.975,2004,OUT035,18,0.13732752417469987,1216,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCC54,241.8196,2181.2889135750365,8,0.098263617,17.75,2007,OUT017,15,1.4899086420580985,1292,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDB53,147.5392,3877.6192,5,0.139735226,13.35,2002,OUT045,20,2.1187162367261676,230,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
NCF43,141.947,2004.058,9,0.052239735,8.51,2007,OUT017,15,0.7920778311602851,1321,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDL12,59.522,299.61,0,0.212963193,12.792854228644991,1985,OUT019,37,3.229025262635984,586,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDC11,88.2172,2181.2889135750365,15,0.142013291,20.5,1999,OUT049,23,2.1532570854583097,243,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRD60,181.7634,2181.2889135750365,14,0.037307618,15.7,2002,OUT045,20,0.5656716511137817,25,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB23,226.6062,5191.2426,15,0.005620213,19.2,2007,OUT017,15,0.08521571029598138,207,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDA40,88.6856,2181.2889135750365,5,0.099675598,16.0,2009,OUT018,13,1.5113176106931716,176,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDK32,153.0682,2181.2889135750365,6,0.048934817,16.25,1987,OUT013,35,0.7419674643752585,560,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDI16,53.064,905.488,5,0.0,14.0,2004,OUT035,18,0.0,479,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDP57,105.099,2181.2889135750365,13,0.087780702,17.5,1998,OUT010,24,1.3309628783125966,771,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDB40,144.2102,4082.6856,4,0.007538459,17.5,2004,OUT035,18,0.11430085269404087,220,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDK22,214.885,4976.855,13,0.025960174,12.792854228644991,1985,OUT027,37,0.3936175847458572,554,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCL07,39.548,759.012,11,0.0311868,12.792854228644991,1985,OUT027,37,0.47286558603005124,1377,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
NCA06,37.219,476.047,9,0.143574191,20.5,2002,OUT045,20,2.176924018046273,1265,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDG32,222.0772,889.5088,6,0.308145448,12.792854228644991,1985,OUT019,37,4.672213175157845,412,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR37,183.7292,2181.2889135750365,2,0.0,12.792854228644991,1985,OUT019,37,0.0,850,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDQ27,104.899,2181.2889135750365,10,0.044244253,5.19,2004,OUT035,18,0.6708474297878221,796,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRH23,54.1614,2181.2889135750365,7,0.285077835,14.65,1998,OUT010,24,4.322453650629537,69,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FDW35,41.4454,1468.089,1,0.011087128,10.6,2004,OUT035,18,0.16810706065098663,1095,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP54,124.573,1601.249,9,0.035292855,15.35,2009,OUT018,13,0.5351230829148429,1450,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDG20,177.0028,2479.4392,6,0.12639886,15.5,2007,OUT017,15,1.9165054127845884,404,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDT16,258.7278,5466.8838,5,0.048426708,12.792854228644991,1985,OUT027,37,0.734263331214686,930,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDA02,143.9786,866.8716,4,0.029843736,14.0,2009,OUT018,13,0.4525015619738523,146,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDY28,213.5218,2181.2889135750365,5,0.152150971,7.47,1997,OUT046,25,2.3069682707734147,1189,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDG09,188.0556,2065.3116,6,0.048207431,20.6,2007,OUT017,15,0.7309385737176709,398,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW20,123.973,2181.2889135750365,6,0.024247803,20.75,2009,OUT018,13,0.36765399385433045,1082,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDK10,181.366,1977.426,13,0.040351229,5.785,2004,OUT035,18,0.6118199862800223,548,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDY47,130.531,1298.31,1,0.054594957,8.6,2002,OUT045,20,0.8277885623433776,1204,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX48,154.2656,3398.2432,0,0.038042233,17.75,2009,OUT018,13,0.5768101504943359,1156,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDC60,87.9514,2181.2889135750365,0,0.113918065,12.792854228644991,1985,OUT027,37,1.7272670670166375,277,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
